number,GaiaDR2,teff_xgboost,mh_xgboost,logg_xgboost,Mass5R,P_B,protD,age_seisfit,age_tefffit,ages_rotfit
150,604920202039656064,4784.7,-0.004,2.498,1.138,-9999.0,-9999.0,7.211315520647985,1.002828347370945,-9999.0
151,604903713660959488,6468.2,-0.476,3.79,-9999.0,-9999.0,-9999.0,-9999.0,3.3362255879627436,-9999.0
152,604905156769963136,4747.8,0.026,2.502,1.598,-9999.0,-9999.0,2.184464432646572,1.0899400531897987,-9999.0
153,604908416649384960,5690.9,-0.015,3.787,-9999.0,-9999.0,-9999.0,-9999.0,4.128808070670168,-9999.0
154,604907390153062272,4799.6,0.061,2.828,1.42,-9999.0,-9999.0,3.355720605835609,1.0787792457890044,-9999.0
155,604962193935568896,3981.1,-0.225,1.18,1.808,-9999.0,-9999.0,1.2429638688360236,-9999.0,-9999.0
156,604989372488540416,5690.7,0.032,3.819,1.602,-9999.0,-9999.0,1.8170665475374344,4.5726847869997815,-9999.0
157,604917281461920256,6049.7,-0.065,3.952,-9999.0,-9999.0,-9999.0,-9999.0,5.193608886086749,-9999.0
158,604921202767811712,6382.1,0.124,4.28,-9999.0,-9999.0,-9999.0,-9999.0,1.6652709886683947,-9999.0
159,604920927889929216,6033.8,-0.002,4.266,-9999.0,-9999.0,-9999.0,-9999.0,5.37119356659769,-9999.0
160,604921271487102464,6033.9,0.051,4.151,-9999.0,-9999.0,-9999.0,-9999.0,5.547711678729835,-9999.0
161,604911199788235648,6059.8,0.035,4.246,-9999.0,-9999.0,-9999.0,-9999.0,4.929821058475572,-9999.0
162,604911509025877248,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
163,604922267919525504,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
164,604916903504793856,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
165,604910860486613632,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
166,604921885666815360,5934.9,-0.029,4.293,-9999.0,-9999.0,-9999.0,-9999.0,6.684400726093314,-9999.0
167,604909726615246080,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
168,604969615639180416,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
